9,北京  ,新橙科技,500-999人,不需要融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170727/cbeba6dd7c81977e72724523343ab1cf313a64ada899129e24d182f7ba962671_s.jpg?x-oss-process=image/resize,w_40,limit_0",产品负责人,李先生,15-30K,java后端工程师
10,北京 海淀区 清河,九次方大数据,1000-9999人,D轮及以上,数据服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20161115/2f91913a0482e9a811906c54c13b98328c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",,,14-20K,java
11,北京 朝阳区 四惠,蜜蜂汇金,500-999人,不需要融资,互联网,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180301/ca9dcd21166de35db0ba76e0c03f71e036ee5e05df6aabb5d1a26a726adfad02_s.jpg?x-oss-process=image/resize,w_40,limit_0",IT研发部HRBP,太先生,15-20K·13薪,Java开发工程师
12,北京 顺义区 马坡,文思海辉·金融,10000人以上,不需要融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160518/65b8c7758b4415800b0f2e3f12a817a68c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘专员,雷女士,12-24K,JAVA
13,北京 海淀区 西二旗,网梯科技,100-499人,不需要融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180306/e7fde5708c7aa4df48e3829d0e8d1a4ea5f92f7e348b17d940a92095d3a811dc_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,于女士,8-12K,Java
14,北京  ,支付宝,10000人以上,B轮,移动互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",高级研发工程师,龙先生,30-60K,高级JAVA开发
15,北京  ,支付宝,10000人以上,B轮,移动互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",高级研发工程师,龙先生,30-60K,Java
16,北京 海淀区 五道口,搜狗,1000-9999人,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",技术总监,张先生,25-50K,高级Java工程师
17,北京 海淀区 上地,OKCoin,500-999人,B轮,互联网,本科,3-5年,"https://img2.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",Java研发经理,于先生,25-35K,JAVA 高级工程师
18,北京 朝阳区 呼家楼,阿里巴巴集团,10000人以上,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180523/08c2dca7bdee7b7de3d6cca76cdbb7c7e902b031a079b5d1982016a6dc0f1028_s.jpg?x-oss-process=image/resize,w_40,limit_0",高级技术专家,李先生,40-70K·16薪,Java开发专家
19,北京  ,高阳明天,20-99人,未融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160628/8d8d4463f0ab2b748db500123dcf1b120b5151586960eee99a854e6337a29761_s.jpg?x-oss-process=image/resize,w_40,limit_0",项目经理,高先生,14-21K,Java
20,北京 海淀区 中关村,软通动力,10000人以上,已上市,计算机软件,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190424/cf55b52cfe078853aef2fba477ed2f23cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",高级招聘顾问,崔女士,9-14K,保险-JAVA
21,北京 朝阳区 四惠,达飞云贷,10000人以上,不需要融资,互联网金融,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20171026/4b6bcfd3e672d2635e347e811654f42578a10093a1733feda1f6aa5619669335_s.jpg?x-oss-process=image/resize,w_40,limit_0",技术经理,穆先生,15-25K,Java
22,北京 朝阳区 太阳宫,Boss直聘,1000-9999人,D轮及以上,人力资源服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170221/c7021e8fd98d8512dcd3cfb6140edc8a8c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",CTO,张先生,25-35K,高级Java工程师
23,北京 昌平区 回龙观,长城汽车,10000人以上,已上市,汽车生产,大专,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_1.png?x-oss-process=image/resize,w_40,limit_0",主管工程师,刘女士,15-30K,JAVA 高级工程师
24,北京 朝阳区 三元桥,国美在线,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180127/b1f9ba962a1ccd74b3728a6297522766f0ca1e6f8c6673a674bf47cdc4f3ce8f_s.jpg?x-oss-process=image/resize,w_40,limit_0",营销技术负责人,谢先生,10-20K,JAVA工程师
25,北京 海淀区 西三旗,分享动力,20-99人,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/upload/avatar/20190624/6cbffc7127717f2fc2fc05581bd1e70e3964d6880a5ee3274586aaf773c44544_s.png?x-oss-process=image/resize,w_40,limit_0",技术主管,王女士,35-50K,资深Java工程师
26,北京 海淀区 上地,小米,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_12.png?x-oss-process=image/resize,w_40,limit_0",HR,刘女士,25-40K,高级Java工程师（新零售）
27,北京 海淀区 上地,小米,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",招聘者,杨先生,18-35K,Java后端工程师
28,北京 海淀区 上地,饿了么,10000人以上,不需要融资,O2O,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190123/efdc17e1abbc608dccf43a3ef8b1ed391e514b08b8f4407164f77837bf51b22f_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,贺女士,30-45K·15薪,JAVA开发专家
29,北京 丰台区 方庄,腾达科技,,,,大专,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190615/079998a58182d4fde8c0c142c53b3defcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",hr,谢女士,10-20K,Java
 0,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京  ,高德地图,1000-9999人,已上市,互联网,本科,3-5年,"https://img2.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",,,25-45K,Java
1,北京 朝阳区 十里堡,天谱教育,1000-9999人,未融资,在线教育,本科,5-10年,"https://img.bosszhipin.com/beijin/upload/avatar/20190801/a68cdf9601ed07ea2261dde5db867526344c37de51692fe7d478bbad1ea95242_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,苏女士,11-20K,java工程师
2,北京  ,软通动力,10000人以上,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20181107/af44164b6410cc0027dcecff106335bd07b878143d6e5c5878429f7e618e3f94_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘顾问,魏先生,11-16K,JAVA开发（稻香湖路）
3,北京 海淀区 马连洼,东风新能源汽车销售服务,100-499人,不需要融资,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/banner/20171031/84ade9701fd02a77fedb6675600a134f33d208e8d6fc287973c46e5cb5346f06.png?x-oss-process=image/resize,w_40,limit_0",综合人事,张女士,11-16K,中级java软件工程师
4,北京 海淀区 魏公村,京北方,10000人以上,未融资,互联网金融,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190424/88b9554664405789b30828d7a42c8e2dcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,张女士,14-20K,java开发
5,北京 顺义区 后沙峪,金泰亚盛,100-499人,D轮及以上,计算机软件,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190121/1eb2cbf36e1d18dc5707ded8390e4049cddb03f830638e4e2e9f9195dec59b2d_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘主管,王女士,10-15K,Java
6,北京 昌平区 回龙观,麦颂文化,1000-9999人,A轮,音乐/视频/阅读,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_1.png?x-oss-process=image/resize,w_40,limit_0",招聘经理,宋女士,15-25K,java架构工程师
7,北京 朝阳区 亮马桥,阿里影业,500-999人,已上市,音乐/视频/阅读,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",开发专家,傅先生,30-50K,Java
8,北京 朝阳区 朝阳门,名道恒通,100-499人,未融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_12.png?x-oss-process=image/resize,w_40,limit_0",HR,郭女士,10-15K,JAVA
9,北京 海淀区 海淀北部新区,宇信科技,1000-9999人,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20181022/a5e2586f128981ae980c995a5795de4657a674ae161cf998f90ff9e9f95a4ab8_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事经理,代女士,11-22K,JAVA（稻香湖）
10,北京 朝阳区 酒仙桥,亿咖通,1000-9999人,不需要融资,互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_14.png?x-oss-process=image/resize,w_40,limit_0",研发经理,陈先生,25-40K,Java研发
11,北京 朝阳区 对外经贸,轻课,100-499人,A轮,互联网,本科,经验不限,"https://img.bosszhipin.com/beijin/upload/avatar/20190802/03a56b62c82285150bb694cc0f4664faeba0aeb0a4d05155233f341f44030f64_s.jpg?x-oss-process=image/resize,w_40,limit_0",架构师,唐先生,25-35K,Java
12,北京 朝阳区 望京,阿里健康科技(北...,,,,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20161212/ef6944307e751dc9410443ae8263e8878c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",研发,刘先生,20-40K,Java高级工程师
13,北京 东城区 东四,宇信科技,1000-9999人,已上市,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/upload/avatar/20190623/04529407391d746ab9b7ad7725fd101fb68df8d552f2de82495faaa4d927d2d2_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘顾问,马女士,10-15K,JAVA工程师
14,北京 海淀区 西北旺,托普朗宁,500-999人,未融资,在线教育,本科,5-10年,"https://img2.bosszhipin.com/boss/avatar/avatar_13.png?x-oss-process=image/resize,w_40,limit_0",项目总监,贾先生,15-30K,Java
15,北京 西城区 金融街,文思海辉·金融,10000人以上,不需要融资,计算机软件,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180404/00998a63d00989fcfc16699dd2435413cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,鲁女士,11-22K,Java
16,北京  ,金泰亚盛,100-499人,D轮及以上,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190121/1eb2cbf36e1d18dc5707ded8390e4049cddb03f830638e4e2e9f9195dec59b2d_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘主管,王女士,8-9K,Java
17,北京 海淀区 西三旗,去哪儿,1000-9999人,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180715/ad15f858a4eb497cf36aab50ce4e506a41591665c5dc7ea34a05c9a4f21a542a_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,王女士,25-40K·16薪,资深Java工程师
18,北京 朝阳区 国展,软通动力,10000人以上,已上市,计算机软件,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190403/d8ca025c31e09a8787fa1912863d97209ec240ae92a8cbbb302e0b0ebf844091_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘顾问,马女士,17-18K,java工程师
19,北京 海淀区 西北旺,文德数慧,500-999人,A轮,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190814/4c95137e95ee61bd0702bf119ecb3872e89e04ab07e9353cb02b2ebf4c7a3c9a_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,王先生,11-22K,java
20,北京 西城区 复兴门,联想利泰,1000-9999人,已上市,移动互联网,本科,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_9.png?x-oss-process=image/resize,w_40,limit_0",招聘顾问,鲁女士,11-17K,java开发
21,北京 海淀区 上地,云科未来,100-499人,不需要融资,在线教育,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190430/7131ead03e87a4573c79b7cb222709b31ad4a378d4ca13c48987030eb47eb86f_s.png?x-oss-process=image/resize,w_40,limit_0",招聘者,李女士,8-12K,java助教
22,北京 朝阳区 望京,美团点评,10000人以上,已上市,O2O,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_14.png?x-oss-process=image/resize,w_40,limit_0",java软件开发工程师,沈先生,20-40K·15薪,Java
23,北京 海淀区 上地,小米,10000人以上,已上市,互联网,本科,1-3年,"https://img2.bosszhipin.com/boss/avatar/avatar_7.png?x-oss-process=image/resize,w_40,limit_0",研发,尤先生,15-30K·15薪,Java
24,北京 海淀区 苏州街,汽车之家,1000-9999人,已上市,互联网,本科,5-10年,"https://img2.bosszhipin.com/mcs/useravatar/20160127/b0cc54fed302b5702502e512557851868c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",研发经理,张先生,22-40K,Java高级工程师/架构师
25,北京 海淀区 西二旗,四方精创,1000-9999人,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_5.png?x-oss-process=image/resize,w_40,limit_0",经理,包先生,8-13K,Java
26,北京 朝阳区 太阳宫,Boss直聘,1000-9999人,D轮及以上,人力资源服务,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180611/e654e8d59b6771ada2e4122bc3c6d373dd619f19cc1305dfb864f57fa7ea18dd_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,秋女士,35-65K,Java架构师
27,北京 朝阳区 望京,亿达信息,1000-9999人,不需要融资,计算机软件,学历不限,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190723/c5672aeb3978ce82759db2e73bcd978a6653ded57500c72d9184224044c5fe2c_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,谢女士,16-25K,java开发
28,北京 东城区 磁器口,东软望海,1000-9999人,B轮,医疗健康,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190418/4c716e8bb510dc28cecf417fc38337f2cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,于先生,25-35K,java架构师
29,北京 海淀区 北京大学,北京大学软件中心,20-99人,未融资,互联网,本科,1-3年,"https://img2.bosszhipin.com/mcs/useravatar/20150806/77213475aab41e8af659ecbca94703f58c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事主管,黄先生,10-15K,Java
 0,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 朝阳区 奥运村,艺相逢,20-99人,天使轮,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170314/914512af4fd01aeb520e622bb89c661c8c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",总经理,高先生,11-20K,Java
1,北京 朝阳区 来广营,小打卡,20-99人,B轮,互联网,本科,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_5.png?x-oss-process=image/resize,w_40,limit_0",招聘者,赖先生,20-40K,Java
2,北京 海淀区 马连洼,力控科技,100-499人,不需要融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",人事经理,顾先生,10-15K,Java
3,北京 海淀区 中关村,中科软,10000人以上,已上市,计算机软件,本科,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",项目主管,刘先生,11-20K·13薪,Java
4,北京 海淀区 清河,九次方大数据,1000-9999人,D轮及以上,数据服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20161115/2f91913a0482e9a811906c54c13b98328c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",,,13-20K,Java后端工程师
5,北京 朝阳区 十里堡,宇信科技,1000-9999人,已上市,计算机软件,本科,5-10年,"https://img.bosszhipin.com/beijin/upload/avatar/20190605/f9b284393bc4eabd1324134dc313e9fc37deffbfacf392cf61e262059d075d3a_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,吴女士,12-24K,Java 银行
6,北京 昌平区 回龙观,三一重工,10000人以上,已上市,企业服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190107/58de5cfdb3f6c0e33c31345ee8426310c3ab20b5e6679997a0e483ef0941cce2_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,刘先生,20-40K·16薪,java工程师
7,北京 海淀区 中关村,爱奇艺,1000-9999人,已上市,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190326/255e5b80e71df44334e8e5863bc2052d0e9b94d31f2e5447b55e175abcae66cd_s.jpg?x-oss-process=image/resize,w_40,limit_0",高级招聘HR,陈女士,30-60K·14薪,Java技术经理
8,北京 海淀区 上地,滴滴出行,1000-9999人,D轮及以上,移动互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20171210/88d4b7f02e6b342489c74417d3c86dcfcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,贺先生,30-60K,Java资深工程师
9,北京 朝阳区 安贞,六合新创科技,100-499人,未融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_9.png?x-oss-process=image/resize,w_40,limit_0",HR,彭女士,12-15K,Java
10,北京 昌平区 南邵,绛门科技,500-999人,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190811/03f767ce839f0893221d0540abd5597111c25b75215c38070fea60bf5691dd16_s.png?x-oss-process=image/resize,w_40,limit_0",HR,李女士,16-17K,java
11,北京 朝阳区 呼家楼,支付宝,10000人以上,B轮,移动互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_1.png?x-oss-process=image/resize,w_40,limit_0",产品经理,林女士,20-40K,java/架构
12,北京 大兴区 亦庄,BOE,10000人以上,已上市,计算机软件,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20181031/3a166f3a05b5d402cf16f126bb1af63fdac9663ad9f3b2ca2998932fc44672c3_s.jpg?x-oss-process=image/resize,w_40,limit_0",京东方集团招聘经理,曹女士,18-35K,Java应用人才
13,北京 朝阳区 酒仙桥,同程艺龙,1000-9999人,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180117/15727b67bb0a6d290f4cc2a41ddcfee6f6f3aa19565f2fa0d91b639d15b9307c_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,韩先生,30-50K,Java高级工程师
14,北京 朝阳区 十里堡,神州数码,10000人以上,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",招聘者,管先生,12-14K,Java
15,北京 大兴区 亦庄,达达-京东到家,1000-9999人,D轮及以上,O2O,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160613/fcb88127daeae1bc30fbd797828018f61e634064179d3d1b08923d3ad98f3260_s.jpg?x-oss-process=image/resize,w_40,limit_0",技术经理,周先生,15-30K,Java
16,北京 朝阳区 望京,阿里健康,500-999人,已上市,移动互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",高级技术专家,杜先生,25-50K,Java
17,北京 朝阳区 大望路,铂金数据,100-499人,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180322/b1fa138c6c444b6d05a3fe46833fd6ebcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR主管,王女士,20-30K,高级java工程师
18,北京 西城区 马甸,中创软件,1000-9999人,不需要融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180427/33f38680ff2774947f4d50040136eca2cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘专员,卢女士,7-10K,java 北京1年
19,北京 东城区 东四,东华博雅,1000-9999人,不需要融资,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190611/8052cde72d6a6b05d966d18383eea7ec4a7a6d9c4e3138e50ac4702beef6a71f_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,潘女士,11-17K,java工程师
20,北京 朝阳区 望京,猿辅导,1000-9999人,D轮及以上,在线教育,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190506/40c910ebdfac5e524ae7ee6e913600a130a75f5ec782ae3d113c0b9dc5b806ab_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,郑女士,30-50K·14薪,高级Java工程师
21,北京 海淀区 苏州街,远传技术,500-999人,D轮及以上,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180823/047533a3f2a078f135cff6a63896b1b438002c7fea75da582e0c5c000185f589_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,李女士,13-17K,Java开发
22,北京 大兴区 亦庄,SCMsafe链四方,20-99人,未融资,物流/仓储,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170502/ea58bec221ed345591eeb071985297df8c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",总经理,王先生,15-25K,Java
23,北京 西城区 右安门,文创思宇,,,,大专,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",HR,魏女士,6-12K,Java
24,北京 朝阳区 对外经贸,怀教网络,100-499人,已上市,计算机软件,本科,5-10年,"https://img2.bosszhipin.com/boss/avatar/avatar_4.png?x-oss-process=image/resize,w_40,limit_0",招聘者,吴女士,15-30K,Java
25,北京 海淀区 上地,金山云,1000-9999人,D轮及以上,互联网,本科,5-10年,"https://img2.bosszhipin.com/boss/avatar/avatar_3.png?x-oss-process=image/resize,w_40,limit_0",招聘经理,陈女士,20-40K·14薪,高级java工程师
26,北京 朝阳区 安贞,美菜网,10000人以上,D轮及以上,移动互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180101/7d9abb84e63575df5f59e6ce80f2dc6e8293e04043539bb89b230d1da0d8dc0c_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,袁女士,40-70K,Java技术专家
27,北京 朝阳区 四惠,蜜蜂汇金,500-999人,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160602/7f39226c2a9f38a9e3779d65efa6f1dd8c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",人力资源经理,刘先生,22-23K·15薪,java技术经理
28,北京 朝阳区 酒仙桥,艾登科技,100-499人,B轮,数据服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180806/3d7c4f9ae8c2996e74398768fb61b998226ef768eb00d7ff73927593ccf69649_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,赵女士,15-30K·13薪,Java
29,北京 朝阳区 呼家楼,蚂蚁金服,10000人以上,C轮,互联网,本科,5-10年,"https://img2.bosszhipin.com/boss/avatar/avatar_13.png?x-oss-process=image/resize,w_40,limit_0",招聘者,严先生,20-40K,Java
 0,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 海淀区 上地,艾融软件,500-999人,已上市,互联网,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190628/f947c04ca8ac08481018be232bba52423967a1159791df9741de0783397267fc_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,刘女士,10-14K,java
1,北京 朝阳区 望京,阿里云,1000-9999人,已上市,互联网,本科,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",招聘者,唐先生,30-60K,java专家
2,北京 海淀区 西三旗,宇信科技,1000-9999人,已上市,计算机软件,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180706/c41a5342a332686a57faa862563dfa58b60a296272ae781e88d3117195b9eb4a_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,王女士,10-15K,Java
